Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Domains
P78314	3BP2_HUMAN	reviewed	SH3 domain-binding protein 2 (3BP-2)	SH3BP2 3BP2 RES4-23	Homo sapiens (Human)	561	PH domain (1); SH2 domain (1)
P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P42684	ABL2_HUMAN	reviewed	Abelson tyrosine-protein kinase 2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
O75815	BCAR3_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	BCAR3 NSP2 SH2D3B UNQ271/PRO308	Homo sapiens (Human)	825	Ras-GEF domain (1); SH2 domain (1)
P51451	BLK_HUMAN	reviewed	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)	505	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
Q8WV28	BLNK_HUMAN	reviewed	B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65)	BLNK BASH SLP65	Homo sapiens (Human)	456	SH2 domain (1)
P51813	BMX_HUMAN	reviewed	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BMX	Homo sapiens (Human)	675	Btk-type zinc finger (1); PH domain (1); Protein kinase domain (1); SH2 domain (1)
Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinaemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659	Btk-type zinc finger (1); PH domain (1); Protein kinase domain (1); SH2 domain (1); SH3 domain (1)
P15882	CHIN_HUMAN	reviewed	N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)	CHN1 ARHGAP2 CHN	Homo sapiens (Human)	459	Phorbol-ester/DAG-type zinc finger (1); Rho-GAP domain (1); SH2 domain (1)
P52757	CHIO_HUMAN	reviewed	Beta-chimaerin (Beta-chimerin) (Rho GTPase-activating protein 3)	CHN2 ARHGAP3 BCH	Homo sapiens (Human)	468	Phorbol-ester/DAG-type zinc finger (1); Rho-GAP domain (1); SH2 domain (1)
Q9NSE2	CISH_HUMAN	reviewed	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS)	CISH G18	Homo sapiens (Human)	258	SH2 domain (1); SOCS box domain (1)
